編號,鄉鎮市(區),收容場所名稱,衛福部重災系統災民收容所編號,"面積
（平方公尺）",預估收容人數,管理人,聯絡電話,地址,應收容村里別,適用災害類型,X軸,Y軸
1,仁愛區,仁愛區公所,SC200-0001,335,67,劉德義,"（02）24301122 ext.205
0983228877",基隆市仁愛區光一路28號6樓,書院里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324289.47,2779849.634
2,仁愛區,虹橋水錦聯合里民活動中心,SC200-0002,309,62,"邱啟毓
胡燿麟","（02）24301122 ext.311
0988331358
0912528028",基隆市仁愛區仁二路53號,"虹橋里
水錦里","■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325595.19,2780127.566
3,仁愛區,林泉里民活動中心,SC200-0003,300,60,王偉鋕,"（02）24301122 ext.313
0928106078",基隆市仁愛區復興街60巷2號,林泉里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",325800.16,2779775.008
4,仁愛區,花崗里活動中心,SC200-0004,126,26,胡燿麟,"（02）24301122 ext.308
0912528028",基隆市仁愛區劉銘傳路11巷24弄3號,花崗里,"■震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",325813.53,2780079.297
5,仁愛區,智仁里民活動中心,SC200-0005,369,74,陳建任,"（02）24301122 ext.308
0933389159",基隆市仁愛區延平街7號,智仁里,"■震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",325487.54,2780072.592
6,仁愛區,和明里民活動中心,SC200-0006,369.26,74,劉慈芬,"（02）24301122 ext.316
0983570083",基隆市仁愛區仁二路137巷2弄1之3號,和明里,"■震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",325186.43,2779985.099
7,仁愛區,忠勇里民活動中心,SC200-0007,150,30,謝秉均,"（02）24301122 ext.312
0905721731",基隆市仁愛區愛五路6巷32號,忠勇里,"□震災■風災□水災■火災
■土石流災害■坡災■海嘯災害",325123.92,2780092.589
8,仁愛區,玉田里民活動中心,SC200-0008,150,30,邱啟毓,"（02）24301122 ext.306
0933766411",基隆市仁愛區愛四路2巷22之1號,玉田里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",325000.88,2780065.032
9,仁愛區,仁德里民活動中心,SC200-0009,179,36,黃麗梅,"（02）24301122 ext.307
0920249256",基隆市仁愛區孝一路82之1號2樓旁通道,仁?里,"□震災■風災□水災■火災
■土石流災害■坡災□海嘯災害",324739.56,2780342.513
10,仁愛區,博愛里民活動中心,SC200-0010,264,53,吳靜宜,"（02）24301122 ext.316
0922768058",基隆市仁愛區愛一路8號3樓之7,博愛里,"□震災■風災■水災■火災
■土石流災害■坡災□海嘯災害",324696.03,2780170.897
11,仁愛區,福仁里民活動中心,SC200-0011,170,34,謝秉均,"（02）24301122 ext.312
0905721731",基隆市仁愛區南榮路117巷31弄1號,"福仁里
誠仁里","■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",324989.73,2779915.598
12,仁愛區,吉仁里民活動中心,SC200-0012,200,40,范鴻軒,"（02）24301122 ext.315
0916992590
李里長0932161557",基隆市仁愛區南新街29之6號,吉仁里,"■震災■風災■水災■火災
■土石流災害■坡災■海嘯災害",325039.674,2779688.237
