區別,機構名稱,電話,傳真,地址,網址
七堵區,堵北里辦公處,02-2451-1351,,基隆市七堵區福一街136號,
七堵區,堵南社區發展協會,02-2452-7585,,基隆市七堵區大德路44號,
七堵區,長安社區發展協會,02-2451-1559,,基隆市七堵區長安街247巷38號,www.facebook.com/groups/1440507919560642/
七堵區,實踐里辦公處,02-2451-8581,,基隆市七堵區百一街52號,
七堵區,友一社區發展協會,02-2451-6577,,基隆市七堵區華新一路7-2號,
七堵區,長興里辦公處,02-2455-1326 2456-3563,,基隆市七堵區東新街25號,
七堵區,瑪東社區發展協會,02-2433-6871,,基隆市七堵區大同街60-3號,
七堵區,財團法人天主教會台北教區基隆市七堵區聖耀漢天主堂,02-2456-3825,,基隆市七堵區南興路35號,
暖暖區,暖同里辦公處,02-2458-6694,,基隆市暖暖區暖暖街16巷41號,www.facebook.com/groups/413839035380733/
暖暖區,財團法人中華基督教碇內浸信會,02-2458-2113 2458-7641,,基隆市暖暖區源遠路277巷25-1號,/www.facebook.com/bubc1/
暖暖區,過港社區發展協會,02-2458-8802,,基隆市暖暖區過港路54號,
暖暖區,中興社區發展協會,02-2457-0017,,基隆市暖暖區暖碇路170號之1,https://www.facebook.com/pages/%E5%9F%BA%E9%9A%86%E5%B8%82%E6%9A%96%E6%9A%96%E5%8D%80%E4%B8%AD%E8%88%88%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83%E9%97%9C%E6%87%B7%E6%93%9A%E9%BB%9E/443767755639803
暖暖區,基隆市自然生態文化 發展協會,02-2458-5399,,基隆市暖暖區暖暖街16巷52號1樓,www.facebook.com/groups/135913166544354/?fref=ts
暖暖區,碇祥里辦公處,02-24574808,,基隆市暖暖區暖暖街199號,
暖暖區,八西里辦公處,02-2457-3066,,基隆市暖暖區八堵路108號,
暖暖區,碇安里辦公處,02-2458-1889,,基隆市暖暖區源遠路277巷23號,
安樂區,三民社區發展協會,02-2432-4135,,基隆市安樂區麥金路435號1樓,
安樂區,五福社區發展協會,02-2431-4186,,基隆市安樂區樂利三街32巷28號3樓,www.facebook.com/love.wufu/?ref=br_rs
安樂區,七賢社區發展協會,02-2432-3497,,基隆市安樂區安和一路2巷4號,
安樂區,永康社區發展協會,02-2429-2558,,基隆市安樂區崇德路12巷2號,www.facebook.com/%E5%9F%BA%E9%9A%86%E5%B8%82%E5%AE%89%E6%A8%82%E5%8D%80%E6%B0%B8%E5%BA%B7%E7%A4%BE%E5%8D%80%E7%99%BC%E5%B1%95%E5%8D%94%E6%9C%83-862598903767150/?ref=br_rs
安樂區,基隆市尚穎愛心協會,02-2431-8914,,基隆市安樂區麥金路439巷17號,
安樂區,樂一社區發展協會,02-2424-3251,,基隆市安樂區樂一路28巷19號,www.facebook.com/pages/%E5%9F%BA%E9%9A%86%E5%B8%82%E6%A8%82%E4%B8%80%E7%A4%BE%E5%8D%80%E9%97%9C%E6%87%B7%E6%93%9A%E9%BB%9E/1497612157234158
中山區,中山愛心協會,02-2428-0683,,基隆市中山區中山二路13號,
中山區,通化社區發展協會,02-2428-2050 2425-7879,,基隆市中山區復旦路10號,www.facebook.com/groups/150501065114628/
中山區,新建社區發展協會,02-2426-0823,,基隆市中山區成功二路2-1號,
中山區,和慶里辦公處,02-2437-7878,,基隆市中山區中和路168巷10弄37號,www.facebook.com/groups/185814138210060/
中山區,中山里辦公處,02-2424-2334,,基隆市中山區中山一路169-1號,
中山區,中和社區發展協會,02-2421-3295,,基隆市中山區中平街95號,
中山區,德安里辦公處,02-2437-4884,,基隆市中山區復興路259巷1-1號,www.facebook.com/groups/453896071353403/
中山區,安平里辦公處,02-2423-5071,,基隆市中山區中山一路91號,
中山區,通明里辦公處,02-2436-4811,,基隆市中山區中華路42號,
中山區,居仁里辦公處,02-2436-1299,,基隆市中山區通仁街162號,www.facebook.com/groups/303214093117060/
中山區,和平里辦公處,02-2436-1950,,基隆市中山區中山三路103巷82-2號,
中山區,健民社區發展協會,02-2427-7651,,基隆市中山區健民街5號,
中山區,西華社區發展協會,02-2429-3625,,基隆市中山區西定路102號,
中山區,協和社區發展協會,02-2422-8392 2422-3925,,基隆市中山區協和街159-5號,
中山區,定福關懷協會,02-2427-0156,,基隆市中山區西定路206號,
中山區,德和社區發展協會,02-2437-5102 2436-5157,,基隆市中山區復興路206號,www.facebook.com/%E5%BE%B7%E5%92%8C%E7%A4%BE%E5%8D%80%E9%97%9C%E6%87%B7%E6%93%9A%E9%BB%9E-725027354202692/?fref=ts
中山區,民治里辦公處,,,基隆市中山一路219號,
