id,資料集名稱,服務分類,檔案格式,下載連結,資料類型,資料集描述,提供機關,更新頻率,授權方式,授權說明網址,計費方式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,發布時間,修訂時間,備註
10340,基隆市最近5年地價稅稅源統計表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=2689&filekey=0,UTF-8,a01,,基隆市稅務局,每年,政府資料開放授權條款-第1版,,免費,林小姐,0224331888#311,"2017/03/31 00:00","2017/07/06 15:01","授權說明網址: http://data.gov.tw/license"
10344,基隆市最近五年契稅綜合統計表,公共資訊,CSV,https://www.kltb.gov.tw/core/download/getfile.php?itemId=2687&filekey=0,UTF-8,a01,,基隆市稅務局,每年,政府資料開放授權條款-第1版,,免費,郭小姐,0224331888#321,"2017/03/31 00:00","2017/07/06 15:36","授權說明網址: http://data.gov.tw/license"
11093,基隆伴手禮,休閒旅遊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1170516,UTF-8,a01,,基隆市政府產業發展處,每季,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1170516,免費,孔先生,0224289225,"2015/02/06 00:00","2017/07/28 09:33","原資料集類型:其他 授權說明網址: http://data.gov.tw/license"
11257,基隆十大食尚餐廳,公共資訊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1170563,UTF-8,a01,,基隆市政府產業發展處,不更新,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1170563,免費,陳小姐,0224289225,"2015/02/06 00:00","2017/07/31 15:25","原資料集類型:其他 授權說明網址: http://data.gov.tw/license"
11271,基隆優質餐廳,公共資訊,CSV,http://economy.klcg.gov.tw/DlFile.ashx?no=1170564,UTF-8,a01,,基隆市政府產業發展處,不更新,政府資料開放授權條款-第1版,http://economy.klcg.gov.tw/DlFile.ashx?no=1170564,免費,陳小姐,0224289225,"2015/02/06 00:00","2017/07/31 15:27","原資料集類型:其他 授權說明網址: http://data.gov.tw/license"
14864,基隆市優良衛生店家,公共資訊,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7368/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E5%84%AA%E8%89%AF%E8%A1%9B%E7%94%9F%E5%BA%97%E5%AE%B6.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2015/05/08 00:00","2017/07/05 15:07","授權說明網址: http://data.gov.tw/license"
14869,基隆市旅館商業同業公會會員名冊,公共資訊,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/4992/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E6%97%85%E9%A4%A8%E5%95%86%E6%A5%AD%E5%90%8C%E6%A5%AD%E5%85%AC%E6%9C%83%E6%9C%83%E5%93%A1%E5%90%8D%E5%86%8A.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2015/05/08 00:00","2017/07/05 15:10","授權說明網址: http://data.gov.tw/license"
15152,基隆市醫療院所名冊,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/5006/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E9%86%AB%E7%99%82%E9%99%A2%E6%89%80%E5%90%8D%E5%86%8A.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2015/05/15 00:00","2017/07/05 15:17","授權說明網址: http://data.gov.tw/license"
15293,基隆市公告之室外禁菸場所,公共資訊,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/10120/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E5%85%AC%E5%91%8A%E4%B9%8B%E5%AE%A4%E5%A4%96%E7%A6%81%E8%8F%B8%E5%A0%B4%E6%89%80_1051214.csv,UTF-8,a01,,基隆市衛生局,每季,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2015/05/15 00:00","2017/07/10 15:14","授權說明網址: http://data.gov.tw/license"
23198,基隆市政府公共債務訊息,公共資訊,CSV,http://financial.klcg.gov.tw/DlFile.ashx?no=1182B72,UTF-8,a01,,基隆市政府財政處,每月,政府資料開放授權條款-第1版,http://financial.klcg.gov.tw/tw/Subject/ThemesService?TSerNo=0B00002E,免費,許先生,0224201122#1712,"2016/01/14 00:00","2017/07/19 10:23","授權說明網址: http://data.gov.tw/license"
23201,基隆市政府最新公共債務訊息,公共資訊,CSV,http://financial.klcg.gov.tw/DlFile.ashx?no=1182B72,UTF-8,a01,,基隆市政府財政處,每月,政府資料開放授權條款-第1版,http://financial.klcg.gov.tw/tw/Subject/ThemesService?TSerNo=0B00002E,免費,許先生,0224201122#1712,"2015/10/12 00:00","2017/07/19 09:28","授權說明網址: http://data.gov.tw/license"
27495,基隆市iTaiwan無線網路熱點,公共資訊,CSV,http://research.klcg.gov.tw/DlFile.ashx?no=11700AE,UTF-8,a01,,基隆市政府研考處,每月,政府資料開放授權條款-第1版,http://research.klcg.gov.tw/DlFile.ashx?no=1170099,免費,許先生,0224201122#1232,"2016/02/04 00:00","2017/09/18 15:22","授權說明網址: http://data.gov.tw/license"
28983,基隆市四大癌症篩檢醫療院所,就醫,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7063/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E5%9B%9B%E5%A4%A7%E7%99%8C%E7%97%87%E7%AF%A9%E6%AA%A2%E9%86%AB%E7%99%82%E9%99%A2%E6%89%80.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/03/23 00:00","2017/07/05 15:24","授權說明網址: http://data.gov.tw/license"
28987,基隆市母嬰親善醫療院所,生育保健,CSV,http://www.klchb.gov.tw/KLCHB/_uploadS/government/manage/7064/file/%E5%9F%BA%E9%9A%86%E5%B8%82%E6%AF%8D%E5%AC%B0%E8%A6%AA%E5%96%84%E9%86%AB%E7%99%82%E9%99%A2%E6%89%80.csv,UTF-8,a01,,基隆市衛生局,每年,政府資料開放授權條款-第1版,,免費,吳先生,0224230181#1321;0224230181#136,"2016/03/23 00:00","2017/07/05 15:18","授權說明網址: http://data.gov.tw/license"
